"replicate","time","NO2","transfer"
"NV8",35.5,126.9528,3
"NV9",35.5,129.2037,3
"NV10",35.5,160.7163,3
"NV11",35.5,90.9384,3
"NV12",35.5,174.2217,3
"NV13",35.5,81.9348,3
"NV14",35.5,104.4438,3
"NV15",35.5,122.451,3
"NV1",60,491.8099,3
"NV2",60,369.6604,3
"NV3",60,462.9382,3
"NV4",60,940.4317,3
"NV5",60,407.4157,3
"NV6",60,298.5916,3
"NV7",60,780.5269,3
"NV8",60,518.4607,3
"NV9",60,442.9501,3
"NV10",60,585.0877,3
"NV11",60,398.5321,3
"NV12",60,649.4938,3
"NV13",60,367.4395,3
"NV14",60,431.8456,3
"NV15",60,482.9263,3
"NV1",67.5,794.7548,3
"NV2",67.5,596.2924,3
"NV3",67.5,712.7812,3
"NV4",67.5,1239.138,3
"NV5",67.5,574.7204,3
"NV6",67.5,397.83,3
"NV7",67.5,1062.2476,3
"NV8",67.5,747.2964,3
"NV9",67.5,643.7508,3
"NV10",67.5,781.8116,3
"NV11",67.5,518.6332,3
"NV12",67.5,937.13,3
"NV13",67.5,501.3756,3
"NV14",67.5,622.1788,3
"NV15",67.5,669.6372,3
"NV1",84.5,1247.7668,3
"NV2",84.5,988.9028,3
"NV3",84.5,1170.1076,3
"NV4",84.5,1743.9228,3
"NV5",84.5,1096.7628,3
"NV6",84.5,812.0124,3
"NV7",84.5,1545.4604,3
"NV8",84.5,1308.1684,3
"NV9",84.5,1148.5356,3
"NV10",84.5,1334.0548,3
"NV11",84.5,1062.2476,3
"NV12",84.5,1450.5436,3
"NV13",84.5,1023.418,3
"NV14",84.5,1148.5356,3
"NV15",84.5,1234.8236,3
"NV1",91.5,1464.9516,3
"NV2",91.5,1230.6626,3
"NV3",91.5,1384.0154,3
"NV4",91.5,1767.3974,3
"NV5",91.5,1315.8586,3
"NV6",91.5,1056.0108,3
"NV7",91.5,1665.1622,3
"NV8",91.5,1516.0692,3
"NV9",91.5,1375.4958,3
"NV10",91.5,1507.5496,3
"NV11",91.5,1269.0008,3
"NV12",91.5,1567.1868,3
"NV13",91.5,1243.442,3
"NV14",91.5,1362.7164,3
"NV15",91.5,1477.731,3
"NV1",0,1,4
"NV2",0,1,4
"NV3",0,1,4
"NV4",0,1,4
"NV5",0,1,4
"NV6",0,1,4
"NV7",0,1,4
"NV8",0,1,4
"NV9",0,1,4
"NV10",0,1,4
"NV11",0,1,4
"NV12",0,1,4
"NV13",0,1,4
"NV14",0,1,4
"NV15",0,1,4
"NV1",15.5,74.3367,4
"NV2",15.5,89.246,4
"NV3",15.5,72.2068,4
"NV4",15.5,40.2583,4
"NV5",15.5,97.7656,4
"NV6",15.5,89.246,4
"NV7",15.5,48.7779,4
"NV8",15.5,82.8563,4
"NV9",15.5,74.3367,4
"NV10",15.5,48.7779,4
"NV11",15.5,63.6872,4
"NV12",15.5,65.8171,4
"NV13",15.5,80.7264,4
"NV14",15.5,95.6357,4
"NV15",15.5,80.7264,4
"NV1",23,103.1586,4
"NV2",23,123.207,4
"NV3",23,92.0206,4
"NV4",23,31.8754,4
"NV5",23,147.7106,4
"NV6",23,118.7518,4
"NV7",23,54.1514,4
"NV8",23,100.931,4
"NV9",23,94.2482,4
"NV10",23,51.9238,4
"NV11",23,76.4274,4
"NV12",23,78.655,4
"NV13",23,114.2966,4
"NV14",23,123.207,4
"NV15",23,96.4758,4
"NV1",40.5,303.6426,4
"NV2",40.5,352.6498,4
"NV3",40.5,288.0494,4
"NV4",40.5,105.3862,4
"NV5",40.5,412.795,4
"NV6",40.5,357.105,4
"NV7",40.5,156.621,4
"NV8",40.5,310.3254,4
"NV9",40.5,276.9114,4
"NV10",40.5,165.5314,4
"NV11",40.5,245.725,4
"NV12",40.5,252.4078,4
"NV13",40.5,337.0566,4
"NV14",40.5,368.243,4
"NV15",40.5,303.6426,4
"NV1",47,406.5519,4
"NV2",47,455.7066,4
"NV3",47,383.1449,4
"NV4",47,149.0749,4
"NV5",47,570.4009,4
"NV6",47,514.2241,4
"NV7",47,216.9552,4
"NV8",47,434.6403,4
"NV9",47,364.4193,4
"NV10",47,230.9994,4
"NV11",47,326.9681,4
"NV12",47,298.8797,4
"NV13",47,451.0252,4
"NV14",47,500.1799,4
"NV15",47,413.574,4
"NV1",69,1093.9878,4
"NV2",69,1173.5716,4
"NV3",69,1033.1296,4
"NV4",69,452.636,4
"NV5",69,1374.8718,4
"NV6",69,1271.881,4
"NV7",69,621.1664,4
"NV8",69,1140.8018,4
"NV9",69,962.9086,4
"NV10",69,607.1222,4
"NV11",69,911.4132,4
"NV12",69,925.4574,4
"NV13",69,1196.9786,4
"NV14",69,1323.3764,4
"NV15",69,1047.1738,4
"NV1",90,1545.3592,4
"NV2",90,1669.8446,4
"NV3",90,1558.237,4
"NV4",90,1056.0028,4
"NV5",90,1802.9152,4
"NV6",90,1734.2336,4
