"replicate","time","NO2","dataset"
"15% 2",74,1753.6262,"Innoculation1500"
"15% 1",90.5,1872.9304,"Innoculation1500"
"15% 2",90.5,1862.0112,"Innoculation1500"
"20% 1",0,0,"Innoculation2000"
"20% 2",0,0,"Innoculation2000"
"20% 1",17,247.5316,"Innoculation2000"
"20% 2",17,247.5316,"Innoculation2000"
"20% 1",25,395.205,"Innoculation2000"
"20% 2",25,386.3072,"Innoculation2000"
"20% 1",41,1005.7864,"Innoculation2000"
"20% 2",41,932.8416,"Innoculation2000"
"20% 1",48,1348.008,"Innoculation2000"
"20% 2",48,1392.94,"Innoculation2000"
"20% 1",65.5,1826.2124,"Innoculation2000"
"20% 2",65.5,1786.2296,"Innoculation2000"
"20% 1",74,1882.935,"Innoculation2000"
"20% 2",74,1813.4072,"Innoculation2000"
"20% 1",90.5,1666.165,"Innoculation2000"
"20% 2",90.5,1878.4382,"Innoculation2000"
